buy_amount,buy_price,sell_amount,sell_price
0.1,7501.1,0.01829913,8105.8
1.413013,7501,1.0024,8106
6.252421,7500,0.199,8106.1
1.25185823,7499,0.051068,8106.3
0.02861748,7498.2,0.00161394,8106.7
1,7498,0.3,8107
0.05444805,7497.4,0.00170329,8107.1
1.04380051,7497,0.02696759,8107.6
0.01,7496.5,0.001,8107.8
0.00186884,7496.4,1.00295455,8108
1.005,7496,0.002,8108.2
6.7971921,7495,0.038925,8109
1.04,7494,0.00132496,8109.7
0.00187945,7493.9,0.57445,8110
1,7493,0.01,8110.9
1.01,7492,0.199,8111.1
0.0345202,7491.8,0.2,8112
0.00189006,7491.3,0.00041969,8112.3
0.0021845,7491.1,0.008,8114.3
1.15,7491,0.00136828,8114.8
0.2,7490.4,0.002,8115.7
4.0456,7490,0.02871916,8115.8
1,7489,0.016,8116
0.00190067,7488.8,0.199,8116.2
0.05637755,7488.6,0.0054,8116.3
0.05,7488.5,0.143418,8117.2
0.368,7488.1,0.017831,8117.3
2.643509,7488,0.00138995,8117.4
1,7487,0.006,8118
0.4615076,7486.7,0.1,8119
0.0352399,7486.6,0.25241161,8120
0.0006174,7486.4,0.199,8121.2
0.00191129,7486.2,29.1988,8121.9
